,Title,url_name,manganato_url,author,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,description,Abe George,Alexandre Dumas,Aoisei,Asano Inio,Atsushi Kamakura,Chiba Sadoru,Demizu Posuka,Ena Moriyama,Fujimoto Tatsuki,Fukao Atsushi,Furuhashi Hideyuki,Furuya Minoru,Furuya Usamaru,Gee So-Lyung,Gou Tanabe,H. P. Lovecraft,Han,Hanazawa Kengo,Higashino Keigo,Hiroe Rei,Hiromoto Sinichi,Hokazono Masaya,Honda Shingo,Hyung Min-Woo,Isayama Hajime,Itou Junji,Jal,Junji Itou,Kaihou Norimitsu,Kaiu Shirai,Kakizaki Masasumi,Kaneshiro Muneyuki,Kanzaki Yuuya,Katsura Masakazu,Kawakami Ryou,Kim Hyung-Jin,Kimizuka Chikara,Kino Hitoshi,Kishimoto Yuki,Koike Nokuto,Koizumi Tomohiro,Kotegawa Yua,Kouji Megumi,Kozo Takahashi,Macchiro,Masaya Hokazono,Matsui Yuusei,Matsumoto Jiro,Miura Kentaro,Miura Tsuina,Miyatsuki Arata,Mori Kouji,Murasaki Hisato,Murata Shinya,Nabeda Yoshiro,Nagai Yoshio,Nakamura Moto,Nanjou Norio,Nitta Jiro,Nohara Mosae,Ochiai Naoyuki,Oobaru,Ooki Kousuke,Osamu Dazai,Oshimi Shuzo,Otomo Katsuhiro,Otsuka Eiji,Ryou Haruto,Saimura Tsukasa,Sakaki Kenji,Sakamoto Shinichi,Sakurai Gamon,Samura Hiroaki,Sanbe Kei,Sato Kentaro,Satou Daisuke,Satou Kenichi,Shimada Toranosuke,Tajima Sho-U,Takahashi Tsutomu,Takami Koushun,Takatoo Yuko,Takimoto Tatsuhiko,Tatsuki Fujimoto,Terada Katsuya,Tonogai Yoshiki,Tsutsui Tetsuya,Uguisu Sachiko,Watanabe Chihiro (Ii),Yagi Norihiro,Yamaguchi Takayuki,Yamamoto Hideo,Yasohachi Ryou,Yasuhiko Yoshikazu,Youn In-Wan,Yu Satomi,,Action,Adventure,Comedy,Cooking,Doujinshi,Drama,Fantasy,Historical,Horror,Martial arts,Mature,Mystery,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shounen,Slice of life,Sports,Supernatural,Tragedy,Webtoons
9,Hyouryuu Net Cafe,hyouryuu_net_cafe,https://manganato.com/manga-qa960757,['Oshimi Shuzo'],1,6,ongoing,2.1M,147,3.81,Vol.7 Chapter 63: Time To Become An Adult,"Description :
It all started with a ""net cafe."" The hero Toki Koichi is a soon-to-be father leading a complacent life. One day, he happens to stop by an internet cafe, and there he bumps into Kaho, his first love from his junior high school days. Having just fought with his wife, Koichi's heart is filled with his old feelings. All of a sudden, a strange wave flows through the computers and cell phones in the net cafe, and the entire place blacks out, just before rain begins to pour outside. Unable to leave safely, both Koichi and Kaho stay overnight at the net cafe. The next morning, when they step outside, they find the world is completely different. Koichi is determined to find out why the entire cafe has transported him to a different world, and to return to his family in the original world. As he fights against various fears and tries to solve the mystery, people start to disappear one after another. Can they all survive through such a crisis!? And what is the secret of his first love with Kaho!?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Oshimi Shuzo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,,,Mature,Mystery,,,Romance,,Sci fi,Seinen,,,,,,
10,Innocent (Sakamoto Shinichi),innocent_sakamoto_shinichi,https://chapmanganato.com/manga-ro953071,['Sakamoto Shinichi'],1,5,ongoing,3.2M,145,4.74,Chapter 99 : Rouge Vow,"Description :
Story about Charles-Henri Sanson, the Royal Executioner of France during the reign of King Louis XVI and High Executioner of the First French Republic.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakamoto Shinichi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,Historical,,,Mature,,,Psychological,,,,Seinen,,,,,,
11,Ajin,ajin,https://chapmanganato.com/manga-qj952992,"['Miura Tsuina', 'Sakurai Gamon']",2,7,ongoing,20.1M,744,4.81,Chapter 77,"Description :
Those who are resistant to death are called ""Demi-humans"". That day, Kei Nagai, a High school student, should have died in a traffic accident, but he comes back to life shortly after. In other words, Kei is a demi-human. Since then, Kei's world changes dramatically. Terrified and without knowing what is going on, Kei is saved by his friend, Kai. Together, they flee deep into a deserted mountain. Later, a group of demi-humans who are hostile against humans contact Kai… Who is he fighting against? Who should he side with?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miura Tsuina,,,,,,,,,,,,,,,,,,,,,,Sakurai Gamon,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,Horror,,Mature,Mystery,,,,,,Seinen,,,,Supernatural,,
12,Kokou no hito,kokou_no_hito,https://chapmanganato.com/manga-nr964952,"['Nabeda Yoshiro', 'Nitta Jiro']",2,7,finished,9.6M,544,4.81,Vol.17 Chapter 170 : Survivor,"Description :
From Stiletto Heels: On his first day of transferring to a new high school, a loner named Mori Buntarou, is cajoled by a classmate into climbing the school building. Despite knowing that one misstep could send him spiraling to his death, he moves forward, and upon finally reaching the top, Mori experiences a sense of fulfillment. That feeling, which seems to be telling him, ""You're alive!"" gives birth to an adrenaline for rock-climbing.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nabeda Yoshiro,,,,Nitta Jiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure,,,,Drama,,,,,Mature,,,Psychological,,,,Seinen,,,Sports,,Tragedy,
13,Ichigeki (Matsumoto Jiro),ichigeki_matsumoto_jiro,https://manganato.com/manga-xk975119,"['Nagai Yoshio', 'Matsumoto Jiro']",2,5,ongoing,2.5M,275,4.62,Chapter 47: A New Path [End],"Description :
A martial arts historical series about a peasant turned samurai and caught in the turmoil of the final year of the Edo Period (1868).",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matsumoto Jiro,,,,,,,,Nagai Yoshio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,Historical,,,Mature,,,,,,,Seinen,,,,,,
14,What a Wonderful World,what_a_wonderful_world,https://chapmanganato.com/manga-mp963572,['Asano Inio'],1,1,ongoing,167.6K,8,4.75,Vol.1 Chapter 9 : Syrup,"Description :
Being his first series, What a Wonderful World remains Asano?s most representative and successful work to date. Composed of vignettes from the daily lives of a group of people inhabiting an ordinary neighborhood somewhere in Tokyo, the series is actually a comment about modern life itself and how we can survive in it despite all its rigors. Amusing, melancholic, funny, strange, thought-provoking?Asano effortlessly shifts from one mood to another, creating stories and characters that are profoundly human and thus always involving. It?s a shame that not everyone will find the subjects the author describes equally appealing since some of them are distinctly Japanese. But overall, it?s a great collection that any discerning manga reader should check out.",,,,Asano Inio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Seinen,,,,,,
15,Mahou Shoujo Of The End,mahou_shoujo_of_the_end,https://chapmanganato.com/manga-xk953719,['Sato Kentaro'],1,6,finished,9.5M,352,4.57,Vol.16 Final Chapter.of Apocalypse [End],"Description :
Kogami Kii hates his normal everyday life and wishes for something to happen. One day in the middle of class, he looks out the window and sees his teacher's head explode when a little girl hits it. He goes to the bathroom to calm himself, but when he gets back to the classroom, he finds most of his classmates killed by the same little girl",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sato Kentaro,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,Horror,,Mature,,,,Romance,,,,Shounen,,,Supernatural,,
16,Gakkou Gurashi!,gakkou_gurashi,https://manganato.com/manga-lk952493,"['Kaihou Norimitsu', 'Chiba Sadoru']",2,8,ongoing,4.4M,636,4.81,Chapter 78.5: Author Note From Twitter,"Description :
Takeya Yuki is in love with the school. For her, it's a wonderful place, where she enjoys her school activities, especially the activities of her club: School Life Club. The club has Rii-chan as the president, Kurumi-chan as another member, and the teacher, Megu-nee, always there for them. Yes, she is in love with her school... on her mind. Because, for her, the reality of the school and their club's activities is way too hard to be perceived... From Batoto: Three high school girls and a teacher are camping at school. The First Article of the ""School Life Club"" Code reads: The School Life Club encourages a spirit of self-governing independence by camping at school, as well as socializing with various after-school clubs, which you can't enjoy from regular classes alone.""",,,,,,Chiba Sadoru,,,,,,,,,,,,,,,,,,,,,,,Kaihou Norimitsu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,Horror,,Mature,Mystery,,Psychological,,School life,,Seinen,,Slice of life,,,,
17,Unemployed Concentration Camp,unemployed_concentration_camp,https://chapmanganato.com/manga-eg982315,"['Gee So-Lyung', 'Atsushi Kamakura']",2,5,ongoing,2.6M,306,4.23,Chapter 29.4,"Description :
2022, Japan's non-workers regeneration method has been established. A person who does not have income for more than six months, is subject to a treatment where they rewrite their brain at a regeneration treatment facility. Tatsuya Kamijo was working in a foreign-owned investment company. One day he loses his job, but six months later, Tatsuya is sent to a concentration camp rather than a playback facility. There he is subjected to worse treatment than brainwashing and training. Why was Tatsuya sent there?",,,,,Atsushi Kamakura,,,,,,,,,Gee So-Lyung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,,Mystery,,Psychological,,,,Seinen,,,,,,
18,Homunculus,homunculus,https://chapmanganato.com/manga-ph966790,['Yamamoto Hideo'],1,5,finished,4.9M,405,4.7,Vol.15 Chapter 8,"Description :
Trepanation is the procedure of drilling a hole in the skull. It is said to increase the blood circulation and improve pressure inside the skull. It is also said to bring out a person's sixth sense, the ability to use ESP, see ghosts, move objects with one's mind. This is speculative fiction based on the concept of trepanation.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yamamoto Hideo,,,,,,,,,,,Drama,,,,,Mature,,,Psychological,,,,Seinen,,,,Supernatural,,
