,Title,url_name,manganato_url,author,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,description,Abe George,Alexandre Dumas,Aoisei,Asano Inio,Atsushi Kamakura,Chiba Sadoru,Demizu Posuka,Ena Moriyama,Fujimoto Tatsuki,Fukao Atsushi,Furuhashi Hideyuki,Furuya Minoru,Furuya Usamaru,Gee So-Lyung,Gou Tanabe,H. P. Lovecraft,Han,Hanazawa Kengo,Higashino Keigo,Hiroe Rei,Hiromoto Sinichi,Hokazono Masaya,Honda Shingo,Hyung Min-Woo,Isayama Hajime,Itou Junji,Jal,Junji Itou,Kaihou Norimitsu,Kaiu Shirai,Kakizaki Masasumi,Kaneshiro Muneyuki,Kanzaki Yuuya,Katsura Masakazu,Kawakami Ryou,Kim Hyung-Jin,Kimizuka Chikara,Kino Hitoshi,Kishimoto Yuki,Koike Nokuto,Koizumi Tomohiro,Kotegawa Yua,Kouji Megumi,Kozo Takahashi,Macchiro,Masaya Hokazono,Matsui Yuusei,Matsumoto Jiro,Miura Kentaro,Miura Tsuina,Miyatsuki Arata,Mori Kouji,Murasaki Hisato,Murata Shinya,Nabeda Yoshiro,Nagai Yoshio,Nakamura Moto,Nanjou Norio,Nitta Jiro,Nohara Mosae,Ochiai Naoyuki,Oobaru,Ooki Kousuke,Osamu Dazai,Oshimi Shuzo,Otomo Katsuhiro,Otsuka Eiji,Ryou Haruto,Saimura Tsukasa,Sakaki Kenji,Sakamoto Shinichi,Sakurai Gamon,Samura Hiroaki,Sanbe Kei,Sato Kentaro,Satou Daisuke,Satou Kenichi,Shimada Toranosuke,Tajima Sho-U,Takahashi Tsutomu,Takami Koushun,Takatoo Yuko,Takimoto Tatsuhiko,Tatsuki Fujimoto,Terada Katsuya,Tonogai Yoshiki,Tsutsui Tetsuya,Uguisu Sachiko,Watanabe Chihiro (Ii),Yagi Norihiro,Yamaguchi Takayuki,Yamamoto Hideo,Yasohachi Ryou,Yasuhiko Yoshikazu,Youn In-Wan,Yu Satomi,,Action,Adventure,Comedy,Cooking,Doujinshi,Drama,Fantasy,Historical,Horror,Martial arts,Mature,Mystery,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shounen,Slice of life,Sports,Supernatural,Tragedy,Webtoons,wiki_url,has_wikipedia_page,compare_title
54,6000,6000,https://manganato.com/manga-or960652,['Koike Nokuto'],1,5,finished,446.8K,40,4.35,Vol.4 Chapter 22 : [End],"Description :
After a tragic accident at a large facility 6000 meters below water killed its workers, the facility was abandoned for three years. After the Japanese company owning it is taken over by a Chinese company, the facility will be opened again. Kadokura Kengo and his colleague Danzaki are sent along with the team reopening the underwater facility. However, right away, an 'accident' grievously injures Danzaki. Kengo is left alone with colleagues he doesn't trust in an eerie underwater environment that may have more to it than meets the eye...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Koike Nokuto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,,,Mystery,,,,,,Seinen,,,,Supernatural,Tragedy,,None,False,6000
55,Jackals,jackals,https://manganato.com/manga-na965009,"['Kim Hyung-Jin', 'Murata Shinya']",2,4,finished,1.6M,86,4.79,Vol.7 Chapter 56 : Era,"Description :
Cicero City, a city infested with immigrants where people of all races scramble to find work and shelter. Infested with destruction and slaughter, it's a chaotic society. Living on the outside of society, the Jackals are professional assassins with no allegiance, available to the highest bidder. This is their story.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kim Hyung-Jin,,,,,,,,,,,,,,,,,,Murata Shinya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,,Martial arts,Mature,,,,,,,Seinen,,,,,,,None,False,Jackals
59,Shin Tokyo,shin_tokyo,https://manganato.com/manga-pn992548,['Sakaki Kenji'],1,4,ongoing,246.7K,59,4.39,Chapter 29,"Description :
According to urban legend, the guilty are sentenced to fall to the Tokyo Underworld. There, they are given no mercy and are mercilessly judged for their crimes in the cruelest ways imaginable!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sakaki Kenji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,,,Mystery,,,,,,,Shounen,,,Supernatural,,,None,False,Shin Tokyo
61,Yomotsuhegui: Fruit of the Underworld,yomotsuhegui_fruit_of_the_underworld,https://manganato.com/manga-ri995091,['Kakizaki Masasumi'],1,5,ongoing,53.5K,47,4.96,Chapter 10: A Promise Between Siblings,"Description :
Ex-policeman Kanetsugu Nawa is a model prisoner, imprisoned for murder and attempted murder in an act of revenge for his late wife and daughter.After being released on parole and shunned by his only remaining family, he returns to the only thing he has left; his revenge.A strange young girl follows him upon his release, seemingly with an ulterior motive...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kakizaki Masasumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,,Mystery,,,,,,Seinen,,,,Supernatural,,,None,False,Yomotsuhegui: Fruit of the Underworld
64,Love Is Blind (Fujimoto Tatsuki),love_is_blind_fujimoto_tatsuki,https://manganato.com/manga-zj976392,['Fujimoto Tatsuki'],1,6,finished,343.6K,179,4.89,Chapter 1,"Description :
Yeah.. Love is definitely blind!!!",,,,,,,,,Fujimoto Tatsuki,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Comedy,,,,,,,,,,One shot,,Romance,School life,Sci fi,,Shounen,,,,,,None,False,Love Is Blind (Fujimoto Tatsuki)
65,Tourin,tourin,https://manganato.com/manga-xv974704,['Matsumoto Jiro'],1,3,finished,56.7K,6,4.83,Chapter 1,"Description :
Tourin summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Tourin. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matsumoto Jiro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,,,One shot,,,,,,,,,,Tragedy,,None,False,Tourin
68,H.p. Lovecraft's The Call Of Cthulhu,h_p_lovecraft_s_the_call_of_cthulhu,https://chapmanganato.com/manga-gc984185,"['Gou Tanabe', 'H. P. Lovecraft']",2,8,ongoing,1.9M,165,4.76,Chapter 7: Great Old Ones,"Description :
""In his house at R'lyeh, dead Cthulhu waits dreaming..."" <br>The Greater Cthulhu Mythos based on information from works in the Mythos. By default, all information is to be assumed to derive from the Lovecraft Myth Cycle unless otherwise marked.",,,,,,,,,,,,,,,Gou Tanabe,H. P. Lovecraft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure,,,,Drama,,,Horror,,,Mystery,,Psychological,,,Sci fi,Seinen,,,,Supernatural,,,None,False,H.p. Lovecraft's The Call Of Cthulhu
69,Pygmalion,pygmalion,https://chapmanganato.com/manga-ty971281,['Watanabe Chihiro (Ii)'],1,4,finished,3.1M,287,4.24,Side.9,"Description :
At the National Local Mascot Festival, children all across Japan can meet their favorite local mascots. But as the festival gets underway, it becomes clear that what's inside these costumes aren't people - they're something much darker, with a taste for human flesh. Amid the chaos spreading through the entire country, Keigo Ayahara, his little brother Makoto, and his friend Ako must now fight for their survival and their humanity.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Watanabe Chihiro (Ii),,,,,,,,,Action,,,,,,Fantasy,,Horror,,,,,,,,,,Shounen,,,,,,None,False,Pygmalion
71,Killer Stall,killer_stall,https://chapmanganato.com/manga-mn963422,['Han'],1,6,finished,1.1M,87,4.52,Chapter 53 : Back Down To Earth (End),"Description :
From Manga Pirate: ""Once upon a time, I was the fucking boss"" Choo, a middle-aged restaurant owner, is being ripped off by a couple of no good teenagers! They might think he's a nobody, but there is a past to him that nobody knows. And nobody should know. Is he just a peaceful shopkeep, or is he something more than that? ---------------------------------------------- From Vendetta Scans: One thing is for certain - if you exercise violence, that violence will return to you in any shape or form. The man who bakes flour-based food and runs an eatery, has a darker past than anyone could ever guess. ...unless you see the name of his store. Original Webcomic",,,,,,,,,,,,,,,,,Han,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,,,,,,Psychological,,,,Seinen,,,,,Tragedy,Webtoons,None,False,Killer Stall
73,Pumpkin Night,pumpkin_night,https://chapmanganato.com/manga-br979252,['Hokazono Masaya'],1,5,ongoing,21.4M,2649,4.52,Chapter 90,"Description :
A deformed female human go out with a pumpkin on her head to kill all who bullied her in the past.",,,,,,,,,,,,,,,,,,,,,,Hokazono Masaya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,Mature,,,,,,,Seinen,,,,,Tragedy,,None,False,Pumpkin Night
74,Waga Na Wa Nero,waga_na_wa_nero,https://manganato.com/manga-nd965238,['Yasuhiko Yoshikazu'],1,5,ongoing,152.5K,4,5,Chapter 15 : My Mane Is Nero [End],"Description :
With the (non-accidental) death of Claudius, the emperor of Rome, his emotionally and psychologically unstable adopted son Nero takes the throne. A historically based Roman adventure, full of political intrigue, murder, rebellion, incest, and all the things a boy wants!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yasuhiko Yoshikazu,,,,,,,,,Drama,,Historical,,,Mature,,,,,,,Seinen,,,,,Tragedy,,None,False,Waga Na Wa Nero
75,This Man,this_man,https://manganato.com/manga-bw978905,['Kouji Megumi'],1,5,ongoing,1.9M,267,4.61,Chapter 43: The Man Who Draws Portraits [End],"Description :
Based on a real japanese urban legend. New Weekly Shounen Magazine series from the Bloody Monday/ Acma:Game artist.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kouji Megumi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,Mature,Mystery,,,,,,,Shounen,,,,,,None,False,This Man
76,Jinrou Game - Crazy Fox,jinrou_game_crazy_fox,https://manganato.com/manga-db980984,['Kawakami Ryou'],1,6,ongoing,1.1M,198,4.3,Vol.4 Chapter 24: Final Countdown,"Description :
Jinrou Game: Crazy Fox summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Jinrou Game: Crazy Fox. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kawakami Ryou,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,Horror,,,Mystery,,Psychological,,School life,,Seinen,,,,,,,None,False,Jinrou Game - Crazy Fox
78,Ikitemasu Ka? Honda-Kun,ikitemasu_ka_honda_kun,https://manganato.com/manga-vl972920,['Tonogai Yoshiki'],1,4,ongoing,1.6M,263,4.37,Chapter 36 [End],"Description :
The manga centers on air-headed girl Arisu, who one day receives a confession of love from Honda. However, the world has been taken over by zombies, so it may not be the right time for romance. Arisu tries to live happily in a zombie-filled world, while Honda holds some secrets of his own. Together, the two try to survive in this new world.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tonogai Yoshiki,,,,,,,,,,,,,,Comedy,,,,,,Horror,,,,,,Romance,,,,Shounen,,,,,,None,False,Ikitemasu Ka? Honda-Kun
79,Innocent Devil,innocent_devil,https://manganato.com/manga-yh976216,['Nakamura Moto'],1,6,finished,502.4K,46,4.59,Chapter 18 [End],"Description :
Jack the Ripper; Ed Gein; Andrei Chikatilo; John Wayne Gacy; Jeffrey Dahmer - separate from these serial killers who shocked the world, there exist offenders known as ""Innocent Devils"", who murder without malice. A criminal psychologist and her beautiful assistant probe the depths their minds.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nakamura Moto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,,,Horror,,Mature,,,Psychological,,,,,Shounen,,,Supernatural,,,None,False,Innocent Devil
80,"Boku No Namae Wa ""shounen A""",boku_no_namae_wa_shounen_a,https://manganato.com/manga-ej981792,['Kimizuka Chikara'],1,3,finished,2M,1283,4.25,Vol.4 Chapter 32: Towards The Future,"Description :
Boku no Namae wa Shounen A summary is updating. Come visit MangaNato.com sometime to read the latest chapter of Boku no Namae wa Shounen A. If you have any question about this manga, Please don't hesitate to contact us or translate team. Hope you enjoy it.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kimizuka Chikara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,,,,,,School life,,,Shounen,,,,,,None,False,"Boku No Namae Wa ""shounen A"""
81,From the Red Fog,from_the_red_fog,https://chapmanganato.com/manga-jy986781,['Nohara Mosae'],1,8,ongoing,7.4M,3757,4.07,Chapter 25: Just A Game [End],"Description :
This work is a story about a boy, Rwanda, whose mother is a vicious murderer, set in England at the end of the 19th century. Rwanda, who has long been confined in the basement, grew up and left the house after a certain incident. Eventually, he arrived at the town and was picked up by a staff member of the nursing home and decided to live in the facility. But peaceful everyday life is only boring for Rwanda…",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nohara Mosae,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,Adventure,,,,Drama,,Historical,Horror,,,Mystery,,Psychological,,,,,,,,,Tragedy,,None,False,From the Red Fog
82,Delusional Boy,delusional_boy,https://manganato.com/manga-hl954668,['Jal'],1,5,ongoing,179.8K,5,4.2,Chapter 9,"Description :
A boy’s terrifying dream that brings an end to humanity that is rotting. A high school student named ‘Gi Haru’, who has an illness that prevents him from differentiating between reality and delusions. His only friends are his studious friend ‘Kang Yul’ and girlfriend ‘Kang Lee Ha’. However one day, after seeing a hallucination of a Nazi assembly during his friend Kang Yul’s poetry recitation, the school falls into a pandemonium of hell where everyone is killing each other, but Gi Haru believes it to be another one of his delusions. However, that was the blunt truth. That ‘day, where the mass murder of the entire student body took place,’ (The starting day) Gi Haru kills his girlfriend Kang Lee Ha with his own hands, is betrayed by his one and only friend Kang Yul, and ends up losing both his eyes. Afterwards, he was detained in a mental institute as the culprit of massacring the entire student body, but after receiving help from the capable group of ‘panthers’ he begins to chase after Kang Yul and begins the road of vengeance.",,,,,,,,,,,,,,,,,,,,,,,,,,,Jal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,,,,,Psychological,,,,Seinen,,,,Supernatural,Tragedy,,None,False,Delusional Boy
