,Title,url_name,manganato_url,author,num_authors,num_genres,status,views,votes,avg_rating,last_chapter,description,Abe George,Alexandre Dumas,Aoisei,Asano Inio,Atsushi Kamakura,Chiba Sadoru,Demizu Posuka,Ena Moriyama,Fujimoto Tatsuki,Fukao Atsushi,Furuhashi Hideyuki,Furuya Minoru,Furuya Usamaru,Gee So-Lyung,Gou Tanabe,H. P. Lovecraft,Han,Hanazawa Kengo,Higashino Keigo,Hiroe Rei,Hiromoto Sinichi,Hokazono Masaya,Honda Shingo,Hyung Min-Woo,Isayama Hajime,Itou Junji,Jal,Junji Itou,Kaihou Norimitsu,Kaiu Shirai,Kakizaki Masasumi,Kaneshiro Muneyuki,Kanzaki Yuuya,Katsura Masakazu,Kawakami Ryou,Kim Hyung-Jin,Kimizuka Chikara,Kino Hitoshi,Kishimoto Yuki,Koike Nokuto,Koizumi Tomohiro,Kotegawa Yua,Kouji Megumi,Kozo Takahashi,Macchiro,Masaya Hokazono,Matsui Yuusei,Matsumoto Jiro,Miura Kentaro,Miura Tsuina,Miyatsuki Arata,Mori Kouji,Murasaki Hisato,Murata Shinya,Nabeda Yoshiro,Nagai Yoshio,Nakamura Moto,Nanjou Norio,Nitta Jiro,Nohara Mosae,Ochiai Naoyuki,Oobaru,Ooki Kousuke,Osamu Dazai,Oshimi Shuzo,Otomo Katsuhiro,Otsuka Eiji,Ryou Haruto,Saimura Tsukasa,Sakaki Kenji,Sakamoto Shinichi,Sakurai Gamon,Samura Hiroaki,Sanbe Kei,Sato Kentaro,Satou Daisuke,Satou Kenichi,Shimada Toranosuke,Tajima Sho-U,Takahashi Tsutomu,Takami Koushun,Takatoo Yuko,Takimoto Tatsuhiko,Tatsuki Fujimoto,Terada Katsuya,Tonogai Yoshiki,Tsutsui Tetsuya,Uguisu Sachiko,Watanabe Chihiro (Ii),Yagi Norihiro,Yamaguchi Takayuki,Yamamoto Hideo,Yasohachi Ryou,Yasuhiko Yoshikazu,Youn In-Wan,Yu Satomi,,Action,Adventure,Comedy,Cooking,Doujinshi,Drama,Fantasy,Historical,Horror,Martial arts,Mature,Mystery,One shot,Psychological,Romance,School life,Sci fi,Seinen,Shounen,Slice of life,Sports,Supernatural,Tragedy,Webtoons,wiki_url,has_wikipedia_page,compare_title
34,Goumon Tournament,goumon_tournament,https://manganato.com/manga-by978707,"['Aoisei', 'Takatoo Yuko']",2,2,ongoing,1.2M,146,4.27,Chapter 19 [End],"Description :
One day, high school student Shunsuke Ohta comes across a man that looks exactly like himself, who commits suicide at a train station. The next day, Shunsuke is abducted on his way home from school. When Shunsuke wakes up after that, he finds himself inside of a cage. There, various torturers gather and compete to see who can make their target confess their secrets the fastest in the ""Torture Tournament."" Shunsuke battle against the ""White Noble"" and the ""Black Moon"" begins!",,,Aoisei,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takatoo Yuko,,,,,,,,,,,,,,,,,,,,,,,,Horror,,,,,,,,,Seinen,,,,,,,None,False,Goumon Tournament
40,Manhole,manhole,https://manganato.com/manga-oa966335,['Tsutsui Tetsuya'],1,3,finished,448.8K,56,4.52,Vol.3 Chapter 29 : Epilogue,"Description :
From Illuminati-Manga:
What do two Japanese detectives, a naked man on a city street, and a roundworm from Botswana all have in common? In the first volume of Manhole, Ken Mizoguchi and Nao Inoue investigate a string of bloody and mysterious murders, but their work uncovers a deadly biological agent which poses a threat of epidemic proportions. An unlikely lead starts them in the pursuit of a mysterious self-titled photographer, but meanwhile the infections keep spreading. The series may be best described as the thrilling combination of a detective story with biological horror.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tsutsui Tetsuya,,,,,,,,,,,,,,,,,,,Horror,,,Mystery,,,,,,Seinen,,,,,,,None,False,Manhole
42,Battle Royal,battle_royal,https://chapmanganato.com/manga-kj960244,['Takami Koushun'],1,11,finished,3.5M,89,4.53,Vol.15 Chapter 119 : Hope,"Description :

Read Battle Royale Manga

Battle Royale Manga has been accommodated into a manga that was serialized, composed by Koushun Takami and Masayuki Taguchi, was released in Japan by Akita Publishing. Tokyopop consists of 15 volumes and distributes in English the manga. There's a manga sequel called Battle Royale II: Blitz Royale. At October 2007, a fresh special version of the manga will probably be published.
 
The manga follows the storyline of the novel fairly carefully, but additionally enlarges on the back story of all the pupils. Additionally it is much more sexually graphic as opposed to movie and novel versions, and can also be noted for the extreme violence.


 
In addition, the English version of manga alters the time the story is occur by nearly 10 years, utilizing the phrase 'in the close future', but on Shogo Kawada's account, it references the software 2005 period; he claims his last application was a year-ago, resulting in the supposition the manga establishes the story in 2006. In quantity among the English language variation, the information channel reporter as well as Shinji Mimura mentions the 2007 report of seven hours, three times and twenty two minutes. To the 2009 period, which will be the 2009 one Kamon refers in quantity 14. Not one of the dates are mentioned in the first Japanese version. Seemingly they were formulated by Keith Giffen through the variation (see below) along with a number of other particulars nonexistent in the authentic.
 
The manga revolves around seven main figures, for instance, righteous Shuya Nanahara, the tender and affectionate Noriko Nakagawa, the case-hardened expert Shogo Kawada, the pro Shinji Mimura, the kindhearted kungfu expert Hiroki Sugimura, the distressed Mitsuko Souma, as well as the cool, merciless Kazuo Kiriyama. As of January 2006, all 1-5 volumes are released in Japan. In Great Britain and the United States all 1-5 of the volumes are released as of April 2006.
 
 
Primary Character in Battle Royal manga


Shuya Nanahara is among the three primary protagonists plus a fictional Japanese pupil. Shuya, who's nicknamed ""Shu"", lives in the fictional city Shiroiwa in Kagawa Prefecture.
 
 
Noriko Nakagawa is the primary female protagonist of the show. She's among the class of third year pupils in Shuya's college. Noriko has a crush on Shuya, whom she admired for his songs and songwriting.


Battle Royale Manga's Characters

Shogo Kawada is the victor of an earlier Program as well as a transfer pupil. In the start he joins up with all the both of these and satisfies Shuya and Noriko.

Kazuo Kiriyama is the main opponent, who attempts to win the Program (utilizing a coin toss to determine whether or not he performs), killing the most quantity of pupils in the class making him the biggest risk. It's afterwards mentioned he'd experienced an automobile crash in a youthful age (where he watched his mother's passing), causing brain injury and resulting in too little emotions and sorrow.

Mitsuko Souma is the secondary antagonist, regarded among the very beautiful women in the system, she's also the female together with the most kills, along with the most deranged, in using her womanly wiles and power to feign feelings to falsify afterward kill her school mates triumphing. It's later shown that these emotional issues come from the following sexual abuse she received from her step-father in addition to physical abuse from her very own mom, as well as her dad after her parents divorced, leaving.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Takami Koushun,,,,,,,,,,,,,,,,,Action,,Comedy,Cooking,Doujinshi,Drama,,,Horror,,Mature,,,Psychological,Romance,,,Seinen,,,,,Tragedy,,None,False,Battle Royal
43,The Devil Of The Gods,the_devil_of_the_gods,https://chapmanganato.com/manga-iq985973,"['Kozo Takahashi', 'Saimura Tsukasa']",2,8,ongoing,1.5M,127,4.55,Chapter 10: Apocalypse,"Description :
A mysterious man butchers his way through a busy train car in Tokyo. This marks the starting point of a series of mysterious incidents.  Renji Amamiya is attacked by Toriko, a prostitute with whom he is in love with, but he is saved by father Mitakura, a renowned exorcist who reveals to him the existence of demons...",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kozo Takahashi,,,,,,,,,,,,,,,,,,,,,,,,,Saimura Tsukasa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,,Fantasy,,Horror,,,Mystery,,Psychological,,,,Seinen,,,,Supernatural,Tragedy,,None,False,The Devil Of The Gods
44,Suicide Island,suicide_island,https://chapmanganato.com/manga-de954339,['Mori Kouji'],1,7,ongoing,5.6M,384,4.48,Chapter 168: Island Of Life [End],"Description :
Treating non-successful suicidal patients requires a lot of money and resources. With a low budget and a personal respect argumentation, a doctor will ask a non-successful suicidal patient if he/she still wants to live on or not. If not, the government will respect his/her wish. However, the government doesn't just simply kill them.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mori Kouji,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Horror,,Mature,Mystery,,Psychological,Romance,,,Seinen,,,,,Tragedy,,None,False,Suicide Island
47,Kanojo Wo Mamoru 51 No Houhou,kanojo_wo_mamoru_51_no_houhou,https://manganato.com/manga-mx963980,['Furuya Usamaru'],1,6,finished,711.8K,42,4.86,Vol.5 Chapter 49 : 5 Years Later,"Description :
From ANN:
February 23rd, 20XX. Looking for a job in the famous TV station at Odaiba, college senior Jin Mishima attended the recruitment orientation. Not far away from the station, Nanako Okano, a gothic lolita trying to attend a concert, found out that her friends tricked her about the concert ticket because of jealousy. The two bumped into each other and ""reunited"" -- they were junior high classmates -- moments before an earthquake of Richter Scale 8.1 turned the island (the entire city, in fact) into ruins.",,,,,,,,,,,,,Furuya Usamaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,,,Mature,,,,Romance,,,Seinen,,,,,Tragedy,,None,False,Kanojo Wo Mamoru 51 No Houhou
48,Insect Princess,insect_princess,https://manganato.com/manga-db980358,"['Masaya Hokazono', 'Yu Satomi']",2,8,ongoing,1.8M,295,4.52,Vol.3 Chapter 24 [End],"Description :
A dark romance about a high school boy who falls helplessly in love with a beautiful girl who has to eat people to survive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Masaya Hokazono,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yu Satomi,,,,,,,Drama,,,Horror,Martial arts,,,,Psychological,Romance,,,Seinen,,,,Supernatural,Tragedy,,None,False,Insect Princess
49,Bibliomania,bibliomania,https://manganato.com/manga-jq987199,"['Oobaru', 'Macchiro']",2,7,ongoing,580.4K,778,4.9,Chapter 12: Sunset [End],"Description :
Alice had woken up in Room 431 of a mysterious manor.



""You must not leave this room,"" warned the Serpent, but she paid it no heed and her body began to rot...



Will she be able to escape the cursed manor?c",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Macchiro,,,,,,,,,,,,,,,,,Oobaru,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Adventure,,,,Drama,Fantasy,,Horror,,,,,Psychological,,,,Seinen,,,,Supernatural,,,None,False,Bibliomania
50,The Count of Monte Cristo,the_count_of_monte_cristo,https://manganato.com/manga-dn981070,"['Alexandre Dumas', 'Ena Moriyama']",2,5,finished,990K,210,4.8,Final Chapter [End],"Description :
Adaption of Alexandre Dumas' novel The Count of Monte Cristo. Set in the time just before Napoleon's return to power, this adventurous tale follows the trials and tribulations of Edmond Dantès. After being unjustly imprisoned on the day of his wedding, Edmond devises a plan that leads to his escape, a hoard of treasure, and a new identity: the Count of Monte Cristo. A tale of courage, vengeance, romance, and betrayal.",,Alexandre Dumas,,,,,,Ena Moriyama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Action,,,,,Drama,,,,,,Mystery,,Psychological,,,,Seinen,,,,,,,None,False,The Count of Monte Cristo
52,Heads,heads,https://chapmanganato.com/manga-sq969973,['Higashino Keigo'],1,5,finished,519.7K,32,4.91,Vol.4 Chapter 36 : From Jun With Love,"Description :
This manga's story is based on a thriller by Keigo Higashino. The main protagonist, the shy Jun Naruse, is a rather average guy who works for a electronic company and loves to draw. He falls in love with Megumi whom he met at a shop selling drawing materials and an intimate relationship develops. A few days later the office gets attacked and when the criminal tries to shoot a little girl he saves her by jumping in front of her.
A month passes until he wakes up again and is told that half his brain got destroyed and he only survived because someone donated half a brain. Everything seems to be fine, he quickly recovers and is happy, however he begins to change...is the donated brain the reason for that? Or is it just a side effect of the medicine?",,,,,,,,,,,,,,,,,,,Higashino Keigo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Drama,,,,,Mature,,,Psychological,,,Sci fi,Seinen,,,,,,,None,False,Heads
